created_at,id,created_at,author,location,retweet_count,tweet,in_reply
2017-10-11 08:31:41,918031336304201730,2017-10-11 08:31:41,vigdhomoman,"Järfälla, Sverige",52,RT @charlieafnord: Förutom det orimliga i att man kan överklaga utvisningsbeslut in i det evinnerliga - vad kostar inte detta spektakel oss…,
2017-10-11 08:31:20,918031248072806400,2017-10-11 08:31:20,LenaSvensson2,Skåne,28,RT @AsaLindhagen: Det är vansinne att vi sänder unga in i döden. Stoppa utvisningarna till Afghanistan! #låtdeungastanna #vistårinteut http…,
2017-10-11 08:14:24,918026989134667776,2017-10-11 08:14:24,EnStina,,6,RT @KristinaEriks10: @Ygeman Börja med att läsa den här rapporten. Sedan kan vi diskutera. https://t.co/AbTQDde9u5,
2017-10-11 08:12:19,918026462825009152,2017-10-11 08:12:19,LakshmiLotus,Sweden ,0,De chartrade planen till Afganistan en svart skamfläck Vad hände med solidariteten &amp; #HumanRights @SwedishPM… https://t.co/ALpijq8ua1,
2017-10-11 08:10:55,918026112034332672,2017-10-11 08:10:55,KristinaZanotti,,3,RT @MadeleineMaddis: Hej @MRibbenvik det är jag igen. Vad tycker du om att samma personer blir fler o fler #låtdeungastanna #vistårinteut h…,
2017-10-11 08:10:16,918025945226858496,2017-10-11 08:10:16,KristinaZanotti,,3,"RT @MadeleineMaddis: Fruktansvärt att @Migrationsverk och @SwedishPM låter detta ske
#låtdeungastanna #vistårinteut https://t.co/bbHVRhMXWn",
2017-10-11 08:05:20,918024706682433536,2017-10-11 08:05:20,MadeleineMaddis,,0,Tänk att moderata partiledare är så obildade att de inte vet vem som stiftar lagar. Röstfiske hos SD! #låtdeungastanna #vistårinteut,
2017-10-11 08:01:59,918023860326424576,2017-10-11 08:01:59,MadeleineMaddis,,0,Just nu står en brun moderat och ljuger om vår asyllagstiftning. Usch! #låtdeungastanna #vistårinteut,
2017-10-11 08:01:53,918023838193143808,2017-10-11 08:01:53,PerericJ,"Eskilstuna, Sverige",13,"RT @spanarlid: En skam för Sverige! 
https://t.co/l9OzoM0tgg
#svpol #svkrim #miljardbedrägerier #vistårinteut #UngISverige https://t.co/fCK…",
2017-10-11 07:58:22,918022953106853888,2017-10-11 07:58:22,maykelcogito,"Stockholm, Sweden",13,"RT @spanarlid: En skam för Sverige! 
https://t.co/l9OzoM0tgg
#svpol #svkrim #miljardbedrägerier #vistårinteut #UngISverige https://t.co/fCK…",
2017-10-11 07:57:30,918022733543419904,2017-10-11 07:57:30,MrFoghagen,"Ålem,Kalmar,Sweden",0,Glad dock att se att några framsteg tas. #Låtdeungastanna #vistårinteut #SvPol,
2017-10-11 07:55:48,918022307460911104,2017-10-11 07:55:48,MrFoghagen,"Ålem,Kalmar,Sweden",0,Vi r många nu som kräver 1 förändring! Ingen ska behöva leva i denna ovisshet! #Låtdeungastanna #vistårinteut #SvPol https://t.co/upNvkIahb5,
2017-10-11 07:40:52,918018546403246081,2017-10-11 07:40:52,sundstrompeter,,52,RT @charlieafnord: Förutom det orimliga i att man kan överklaga utvisningsbeslut in i det evinnerliga - vad kostar inte detta spektakel oss…,
2017-10-11 07:36:33,918017462146338816,2017-10-11 07:36:33,JimmyKarlberg,,52,RT @charlieafnord: Förutom det orimliga i att man kan överklaga utvisningsbeslut in i det evinnerliga - vad kostar inte detta spektakel oss…,
2017-10-11 07:33:42,918016746048708609,2017-10-11 07:33:42,EliAhl,Stockholm,53,"RT @Jonas_Gardell: Låt de unga stanna! #vistårinteut 

https://t.co/hj5BdT3lm2",
