from_user;text
trewe;@GoteborgsPosten #västlänken marknadsförs som klimatsmart trots att CO2-utsläpp vid bygget aldrig kan räknas hem under tunnels livstid. Ansvar?
stoppa_VL;@axeljosefson Lägger ni över pengarna från #västlänken? Den lär ju inte klara MMD.
Liljerosso;"Snacka om självmål. Som sagt - saliga är de som tror, fastän de inte ser.
#västlänken #gbgftw #kfgbg https://t.co/cCbGn2npqI"
Per_K;Huvudförhandlingen i mark- och miljödomstolen är avslutad. #västlänken #gbgftw  https://t.co/jIMvtVcjhv
stoppa_VL;RT @skonagoteborg: Huvudförhandlingen i mark- och miljödomstolen är avslutad #västlänken #gbgpol https://t.co/rZ1vA8fw7q https://t.co/W2srex4wZd
edward_jobson;"RT @stoppa_VL: ""Varför ska man lyssna på TRV om de inte ens själva vill göra det?"" https://t.co/kmjE5ARBbM #västlänken"
skonagoteborg;Huvudförhandlingen i mark- och miljödomstolen är avslutad #västlänken #gbgpol https://t.co/rZ1vA8fw7q https://t.co/W2srex4wZd
stoppa_VL;@Vastsvpaket @vastlanken En torr och lagom filtrerad redogörelse. Åke missade t.ex. Peter Danielssons dragning om beräkningarna bakom nyttorna med #västlänken.
TheoPapa1975;Se filmen om #grinigagubbar fyllda 3 år https://t.co/ciFtZ0qX64 De är värda en stor applåd ???? #gbgftw #gbgpol #kfgbg #vägvalet #västlänken
Per_K;@e_krang @hejmarja @Hillgren @UlrikaMHedman Motståndet mot #västlänken har väldigt lite med råttor att göra. Desto mer ett gigantiskt slöseri med pengar och stora risker för... vad?
UlfJagler;@joakimDahlMgbg Synd att ni glatt medverkar till kapitalförstörning och miljökatastrofen #västlänken då.
UlfJagler;@Zwepol @katarina_J_J Jag var en av tågvärdarna. Om alla andra oavsett ideologi klarade att stå upp mot #västlänken så borde ni i MED visat var ni står i frågan
UlfJagler;RT @stoppa_VL: Tidigare informationschef inom Göteborgs Stad anser att #västlänken är en dinosaurie! Han vill ha kollektivtrafik för Göteborgarna istället! https://t.co/D9rMh1ZyWZ
