created_at,id,created_at,author,location,retweet_count,tweet,in_reply
2017-10-18 19:00:22,920726267053445120,2017-10-18 19:00:22,hotwiredsweden,Sweden,13,RT @ECPATSverige: Starkt att se så många prata om sexuella övergrepp under #metoo! Det får inte bli tyst! Vi måste uppmärksamma och arbeta…,
2017-10-18 19:00:22,920726263358263296,2017-10-18 19:00:22,uddenbergrikard,,420,"RT @AlltGenast: Kolla vad fint och bra en jag inte alls känner skrev på FB om #metoo och var gränsen går! (Öppen status, så jag behåller na…",
2017-10-18 19:00:21,920726258790649862,2017-10-18 19:00:21,josefinadiel,"Stockholm, Sverige",24,"RT @konstantarg: #metoo Kvinnor (och andra) behöver inte kurser i självförsvar.

Män behöver kurser i självdisciplin.",
2017-10-18 19:00:19,920726253539418114,2017-10-18 19:00:19,yungslem_,"Stockholm, Sverige",420,"RT @AlltGenast: Kolla vad fint och bra en jag inte alls känner skrev på FB om #metoo och var gränsen går! (Öppen status, så jag behåller na…",
2017-10-18 19:00:12,920726221914288128,2017-10-18 19:00:12,ElinHoy,,367,"RT @Emmywin: #MeToo 
Skulle kunna skriva över 150 tweets med den här hashtagen men män skulle fortfarande inte förstå problemet.",
2017-10-18 19:00:05,920726193313329153,2017-10-18 19:00:05,helenaestebring,,420,"RT @AlltGenast: Kolla vad fint och bra en jag inte alls känner skrev på FB om #metoo och var gränsen går! (Öppen status, så jag behåller na…",
2017-10-18 18:59:58,920726165190533121,2017-10-18 18:59:58,BHeijer,Stockholm,52,"RT @Anna_Ekstrom: Gå med &amp; engagera er i facket! Se till att facket driver fall, skriver bra avtal &amp; bidrar till ett arbetsliv fritt från k…",
2017-10-18 18:59:20,920726003600842753,2017-10-18 18:59:20,yoemmalee,,1327,RT @hagnestahill_: Att Anna Book nu stöttar #metoo när hon nyligen körde på offentlig skuldbeläggning och victimblaming av tjejen hennes so…,
2017-10-18 18:59:10,920725961166983170,2017-10-18 18:59:10,oliviajarnede,,11,"RT @emmar__: Så fruktansvärt att se så många använda #metoo. ""Inte alla män"" säger folk men tydligen alla kvinnor, så något jävla problem f…",
2017-10-18 18:58:41,920725842493353984,2017-10-18 18:58:41,papayanordin,"Strängnäs, Sverige",0,RT @SteningEmma: #MeToo till alla killar på krogen som tror att dem har någon slags rätt att ta på min kropp utan mitt tillstånd,
2017-10-18 18:58:30,920725793675927554,2017-10-18 18:58:30,hannaakarlssoon,"Lessebo, Sverige",182,RT @OtursOlga: Smördrickande lipsillen Anna Book stöttar #metoo kombinerat med att ha kört victimblaiming av tjejen hennes son våldtog #otu…,
2017-10-18 18:58:24,920725770682630144,2017-10-18 18:58:24,majanyqvist,"Örebro, Sverige",420,"RT @AlltGenast: Kolla vad fint och bra en jag inte alls känner skrev på FB om #metoo och var gränsen går! (Öppen status, så jag behåller na…",
2017-10-18 18:58:21,920725757667741696,2017-10-18 18:58:21,samuelskwarski,Stockholm,0,Det visste väl Timell jag att han var en snuskgubbe. #MeToo,
2017-10-18 18:58:08,920725703875756032,2017-10-18 18:58:08,OssiNielsen,"Järfälla, Sverige",0,"Försöker få rätsida på hela grejen med #metoo. Men det är svårt, väldigt svårt.
BLOGG: https://t.co/fhPdnL5ps6",
2017-10-18 18:58:06,920725692932816897,2017-10-18 18:58:06,ahrinNFU,"Stockholm, Sweden",52,"RT @Anna_Ekstrom: Gå med &amp; engagera er i facket! Se till att facket driver fall, skriver bra avtal &amp; bidrar till ett arbetsliv fritt från k…",
2017-10-18 18:57:54,920725643171647488,2017-10-18 18:57:54,StefanSMora,Mora,1327,RT @hagnestahill_: Att Anna Book nu stöttar #metoo när hon nyligen körde på offentlig skuldbeläggning och victimblaming av tjejen hennes so…,
2017-10-18 18:57:47,920725616680456195,2017-10-18 18:57:47,rufuscade,"Stockholm, Sweden",0,"Ang #metoo :
Ingen ska utsättas för ovälkommen beröring eller dito sexuella kommentarer, men inte en enda gång har jag blivit utsatt för &gt;&gt;",
2017-10-18 18:57:22,920725509801168896,2017-10-18 18:57:22,erikamarcusson,,367,"RT @Emmywin: #MeToo 
Skulle kunna skriva över 150 tweets med den här hashtagen men män skulle fortfarande inte förstå problemet.",
2017-10-18 18:57:19,920725499311198208,2017-10-18 18:57:19,annajegorova,,54,"RT @linnlucila: jag älskar att #metoo lyfts fram, samtidigt som det stör mig att det återigen blir kvinnors ansvar att upplysa män om deras…",
2017-10-18 18:57:10,920725460975222790,2017-10-18 18:57:10,MartinAIK,Mitt eget Blue Hawaii,16,"RT @MagnusHultman: Uppmaning till samtliga: 1, läs #metoo. 2, reflektera. 3, ta åt er.",
2017-10-18 18:56:58,920725410882695170,2017-10-18 18:56:58,idaalilindqvist,,0,”Fan va nice att knulla en mörk fitta.” #MeToo,
2017-10-18 18:56:54,920725391995756545,2017-10-18 18:56:54,Rebeckajnorgren,Sweden,1327,RT @hagnestahill_: Att Anna Book nu stöttar #metoo när hon nyligen körde på offentlig skuldbeläggning och victimblaming av tjejen hennes so…,
2017-10-18 18:56:51,920725381728096256,2017-10-18 18:56:51,thenabasaadoun,Sverige,1327,RT @hagnestahill_: Att Anna Book nu stöttar #metoo när hon nyligen körde på offentlig skuldbeläggning och victimblaming av tjejen hennes so…,
2017-10-18 18:56:50,920725375168245760,2017-10-18 18:56:50,PetterOhrling,"Sundsvall, Sverige",31,"RT @PatrikWestberg: Vi är många som växt upp i omklädningsrum, vi vet hur snacket gick, vi pratade mkt om många, ingen sa ifrån.
Vi borde p…",
2017-10-18 18:56:38,920725324379381760,2017-10-18 18:56:38,J_Sjostrand,Malmö,420,"RT @AlltGenast: Kolla vad fint och bra en jag inte alls känner skrev på FB om #metoo och var gränsen går! (Öppen status, så jag behåller na…",
2017-10-18 18:56:33,920725305291083777,2017-10-18 18:56:33,oliviamagnusson,"Stockholm, Sverige",1,RT @johanna_ejag: endast killar som känner sig träffade stör sig/reagerar negativt på #metoo,
2017-10-18 18:56:26,920725276685987840,2017-10-18 18:56:26,tovaisabell,"Hudiksvall, Sweden",420,"RT @AlltGenast: Kolla vad fint och bra en jag inte alls känner skrev på FB om #metoo och var gränsen går! (Öppen status, så jag behåller na…",
2017-10-18 18:56:18,920725241055318018,2017-10-18 18:56:18,mannfors,,182,RT @OtursOlga: Smördrickande lipsillen Anna Book stöttar #metoo kombinerat med att ha kört victimblaiming av tjejen hennes son våldtog #otu…,
2017-10-18 18:56:06,920725190920802304,2017-10-18 18:56:06,oliviamagnusson,"Stockholm, Sverige",1,RT @ALinderholm: Usch blir tårögd av alla #metoo -grejer fina bästa ni ingen förtjänar :’’’( starka som berättar stöttar 100% verkligen,
2017-10-18 18:56:06,920725190803382272,2017-10-18 18:56:06,MorKarins,Dalarna,1327,RT @hagnestahill_: Att Anna Book nu stöttar #metoo när hon nyligen körde på offentlig skuldbeläggning och victimblaming av tjejen hennes so…,
2017-10-18 18:56:04,920725183450710017,2017-10-18 18:56:04,fjannys,"Haninge, Sverige",1327,RT @hagnestahill_: Att Anna Book nu stöttar #metoo när hon nyligen körde på offentlig skuldbeläggning och victimblaming av tjejen hennes so…,
2017-10-18 18:55:59,920725162705739776,2017-10-18 18:55:59,Juliaekloflilja,,1741,"RT @SilvanaImam: ”Inte alla män” men nästan alla kvinnor. 

Följ #MeToo",
2017-10-18 18:55:50,920725123841306624,2017-10-18 18:55:50,laurahokstrand,STOCKHOLM,1327,RT @hagnestahill_: Att Anna Book nu stöttar #metoo när hon nyligen körde på offentlig skuldbeläggning och victimblaming av tjejen hennes so…,
2017-10-18 18:55:27,920725026160234501,2017-10-18 18:55:27,lisakpalm,,4,RT @FiStockholm: Det handlar om makt. #metoo https://t.co/XyZz5cBUdn,
2017-10-18 18:55:07,920724944807448576,2017-10-18 18:55:07,MorKarins,Dalarna,9,"RT @Ulwencreutz: Till följd av #MeToo -kampanjen torde vi med gentlemanna-ideal bli trendiga igen, till förmån framför svinen som vanligen…",
2017-10-18 18:54:59,920724909550194690,2017-10-18 18:54:59,JoSjo84,Stockholm,420,"RT @AlltGenast: Kolla vad fint och bra en jag inte alls känner skrev på FB om #metoo och var gränsen går! (Öppen status, så jag behåller na…",
2017-10-18 18:54:51,920724877891592198,2017-10-18 18:54:51,Onlysofia, Norra Stå,16,"RT @MagnusHultman: Uppmaning till samtliga: 1, läs #metoo. 2, reflektera. 3, ta åt er.",
2017-10-18 18:54:45,920724853539442688,2017-10-18 18:54:45,MrsLindblom,in the broken in the living ,0,"#annabook detta avskum till människa stöttar #/metoo. Hennes son våldtog en 13 åring, som Anna  attackerade + skammade. Fy fan..",
